method,f1,precision,recall,ap,mcc,threshold,seconds,fbeta
【方向C】HistGradientBoosting（扩展时序特征）,0.9254302103245483,0.9565217391304348,0.8962962962962963,0.9810122284088096,0.9222406367890383,0.0034128700838530496,38.1,
【方向A+C】ET 0.6 + HistGB 0.4（扩展特征）,0.9239766081866359,0.9753086419753086,0.8777777777777778,0.9491683945090686,0.9216654994456429,0.017324356421314198,0.0,
【方向E】4模型Stacking ET+XGB+ExtET+HistGB,0.9146110056921,0.9377431906614786,0.8925925925925926,0.9584157122484291,0.9106128675866221,0.00015878977128510227,0.2,
【方向A+B】ET 0.6 + LGBM DART 0.4（扩展特征）,0.9126213592228022,0.9591836734693877,0.8703703703703703,0.9303767414926973,0.9095105307087625,0.03302166431197156,0.0,
【基线】ET 0.75 + XGBoost 0.25（原始时序特征）,0.910476190475691,0.9372549019607843,0.8851851851851852,0.9499624504640578,0.90639098510565,0.0353326550424099,37.5,
【方向F】F-beta(0.5) 基线概率（高精确率）,0.8897795591177398,0.9694323144104804,0.8222222222222222,0.9499624504640578,0.8878603141828132,0.08294459372758865,0.0,0.9359190556483619
【方向B】LightGBM DART（扩展时序特征）,0.8875739644965436,0.9493670886075949,0.8333333333333334,0.9215240561116992,0.8842138668297067,0.026702403168666587,49.4,
【方向F】F-beta(2.0) 基线概率（高召回率）,0.8828828828823833,0.8596491228070176,0.9074074074074074,0.9499624504640578,0.8770056559444401,0.017289173685014248,0.0,0.8974358974356909
【方向A】扩展时序特征 ET0.75+XGB0.25,0.8699186991864966,0.963963963963964,0.7925925925925926,0.9134432717780551,0.8684126104247205,0.04142455806642327,99.3,
【方向D】IsoForest元特征+ET0.75+XGB0.25（扩展特征）,0.8667992047708744,0.9356223175965666,0.8074074074074075,0.9143257741645919,0.8630050209280578,0.028945990294218064,133.3,
